,id,name,city,lon,lat,planned_arrival_time,gtfs_line_ref,gtfs_line_start_time,gtfs_ride_id
118,15810468,שדרות נהר הירקון/העונות,בית שמש,35.004975,31.705053,2023-07-31 21:24:33+00:00,10534,2023-07-31 21:00:00+00:00,49256207
119,15809216,יפת/יהודה הימית,תל אביב יפו,34.752755,32.049974,2023-07-31 21:24:35+00:00,2328,2023-07-31 21:00:00+00:00,49282077
120,15811016,קרליבך/הארבעה,תל אביב יפו,34.782519,32.070533,2023-07-31 21:24:59+00:00,2542,2023-07-31 21:10:00+00:00,49246646
121,15792178,מסוף כורזין,גבעתיים,34.816446,32.060792,2023-07-31 21:24:59+00:00,976,2023-07-31 21:00:00+00:00,49247757
122,15789594,נהר הירקון/נהר הירדן,בית שמש,35.0002,31.70735,2023-07-31 21:24:59+00:00,10533,2023-07-31 21:00:00+00:00,49253722
123,15792603,יפת/ד''ר ארליך,תל אביב יפו,34.752424,32.047706,2023-07-31 21:24:59+00:00,2328,2023-07-31 21:00:00+00:00,49282077
124,15804655,כביש 3855/הירקון,בית שמש,35.007913,31.705894,2023-07-31 21:25:01+00:00,10534,2023-07-31 21:00:00+00:00,49256207
125,15792386,המלך ג'ורג'/בוגרשוב,תל אביב יפו,34.774835,32.07329,2023-07-31 21:25:38+00:00,2328,2023-07-31 21:15:00+00:00,49282649
126,15792668,המלך ג'ורג'/רש''י,תל אביב יפו,34.773361,32.071897,2023-07-31 21:25:59+00:00,2328,2023-07-31 21:15:00+00:00,49282649
127,15789699,נחל לוז/ הירקון,בית שמש,34.99558,31.708768,2023-07-31 21:25:59+00:00,10533,2023-07-31 21:00:00+00:00,49253722
128,15804656,כביש 375/כביש 3855,מטה יהודה,35.011658,31.696713,2023-07-31 21:25:59+00:00,10534,2023-07-31 21:00:00+00:00,49256207
129,15792563,יפת/סייפן,תל אביב יפו,34.751917,32.044245,2023-07-31 21:25:59+00:00,2328,2023-07-31 21:00:00+00:00,49282077
130,15792498,מכון מור/דרך זאב ז'בוטינסקי,בני ברק,34.825758,32.091435,2023-07-31 21:25:59+00:00,6821,2023-07-31 21:15:00+00:00,49274661
131,15792165,גן רבקה/משמר הירדן,גבעתיים,34.813186,32.062099,2023-07-31 21:26:23+00:00,976,2023-07-31 21:00:00+00:00,49247757
132,15792562,יפת/מנדס פראנס,תל אביב יפו,34.751605,32.042043,2023-07-31 21:26:31+00:00,2328,2023-07-31 21:00:00+00:00,49282077
